----------------
running with CPU
----------------
input file data/input/toyDetector_1000.csv
output file data/output/toyDetector_1000_3_5_5_8.csv
Start to load input points
Finished loading input points
--- calculateLocalDensity:     14.8336 ms
--- calculateDistanceToHigher: 18.6356 ms
--- findSeedAndFollowers:      3.85118 ms
--- assignClusters:            0.418885 ms
Elapsed time: 48.6648 ms
--- prepareDataStructures:     5.17972 ms
--- calculateLocalDensity:     14.9548 ms
--- calculateDistanceToHigher: 18.7449 ms
--- findSeedAndFollowers:      3.85297 ms
--- assignClusters:            0.41692 ms
Elapsed time: 48.8615 ms
--- prepareDataStructures:     5.16871 ms
--- calculateLocalDensity:     14.8416 ms
--- calculateDistanceToHigher: 18.6971 ms
--- findSeedAndFollowers:      3.84195 ms
--- assignClusters:            0.42732 ms
Elapsed time: 48.7038 ms
--- prepareDataStructures:     5.28912 ms
--- calculateLocalDensity:     14.7876 ms
--- calculateDistanceToHigher: 18.8825 ms
--- findSeedAndFollowers:      3.8324 ms
--- assignClusters:            0.423788 ms
Elapsed time: 48.9375 ms
--- prepareDataStructures:     5.12459 ms
--- calculateLocalDensity:     14.9181 ms
--- calculateDistanceToHigher: 18.6003 ms
--- findSeedAndFollowers:      3.87808 ms
--- assignClusters:            0.41989 ms
Elapsed time: 48.6615 ms
--- prepareDataStructures:     5.12914 ms
--- calculateLocalDensity:     14.7698 ms
--- calculateDistanceToHigher: 18.6085 ms
--- findSeedAndFollowers:      3.84076 ms
--- assignClusters:            0.415401 ms
Elapsed time: 48.4725 ms
--- prepareDataStructures:     5.21847 ms
--- calculateLocalDensity:     14.8683 ms
--- calculateDistanceToHigher: 18.7067 ms
--- findSeedAndFollowers:      3.86259 ms
--- assignClusters:            0.416928 ms
Elapsed time: 48.7918 ms
--- prepareDataStructures:     5.17594 ms
--- calculateLocalDensity:     15.0959 ms
--- calculateDistanceToHigher: 18.7481 ms
--- findSeedAndFollowers:      3.95364 ms
--- assignClusters:            0.444141 ms
Elapsed time: 49.173 ms
--- prepareDataStructures:     5.14374 ms
--- calculateLocalDensity:     14.818 ms
--- calculateDistanceToHigher: 18.7041 ms
--- findSeedAndFollowers:      3.81261 ms
--- assignClusters:            0.423303 ms
Elapsed time: 48.633 ms
--- prepareDataStructures:     5.2391 ms
--- calculateLocalDensity:     14.7924 ms
--- calculateDistanceToHigher: 18.5978 ms
--- findSeedAndFollowers:      3.91647 ms
--- assignClusters:            0.413193 ms
Elapsed time: 48.6869 ms
--- prepareDataStructures:     5.15342 ms
--- calculateLocalDensity:     14.7679 ms
--- calculateDistanceToHigher: 18.6377 ms
--- findSeedAndFollowers:      3.83998 ms
--- assignClusters:            0.414031 ms
Elapsed time: 48.5438 ms
--- prepareDataStructures:     5.16658 ms
--- calculateLocalDensity:     14.8606 ms
--- calculateDistanceToHigher: 18.7282 ms
--- findSeedAndFollowers:      3.83649 ms
--- assignClusters:            0.415376 ms
Elapsed time: 48.7532 ms
--- prepareDataStructures:     5.14526 ms
--- calculateLocalDensity:     14.9421 ms
--- calculateDistanceToHigher: 18.6163 ms
--- findSeedAndFollowers:      3.85157 ms
--- assignClusters:            0.414366 ms
Elapsed time: 48.7071 ms
--- prepareDataStructures:     5.15395 ms
--- calculateLocalDensity:     14.837 ms
--- calculateDistanceToHigher: 18.76 ms
--- findSeedAndFollowers:      3.85219 ms
--- assignClusters:            0.422561 ms
Elapsed time: 48.8028 ms
--- prepareDataStructures:     5.68012 ms
--- calculateLocalDensity:     14.9114 ms
--- calculateDistanceToHigher: 18.639 ms
--- findSeedAndFollowers:      3.86523 ms
--- assignClusters:            0.414159 ms
Elapsed time: 56.64 ms
--- prepareDataStructures:     5.16685 ms
--- calculateLocalDensity:     14.7261 ms
--- calculateDistanceToHigher: 18.7748 ms
--- findSeedAndFollowers:      3.95229 ms
--- assignClusters:            0.432107 ms
Elapsed time: 48.8839 ms
--- prepareDataStructures:     5.12785 ms
--- calculateLocalDensity:     14.7704 ms
--- calculateDistanceToHigher: 18.5766 ms
--- findSeedAndFollowers:      3.85117 ms
--- assignClusters:            0.419486 ms
Elapsed time: 48.447 ms
--- prepareDataStructures:     5.16328 ms
--- calculateLocalDensity:     14.7812 ms
--- calculateDistanceToHigher: 18.6622 ms
--- findSeedAndFollowers:      3.86997 ms
--- assignClusters:            0.418179 ms
Elapsed time: 48.6652 ms
--- prepareDataStructures:     5.22034 ms
--- calculateLocalDensity:     14.791 ms
--- calculateDistanceToHigher: 18.7275 ms
--- findSeedAndFollowers:      3.82694 ms
--- assignClusters:            0.429045 ms
Elapsed time: 48.7014 ms
--- prepareDataStructures:     5.1591 ms
--- calculateLocalDensity:     14.8099 ms
--- calculateDistanceToHigher: 18.7199 ms
--- findSeedAndFollowers:      3.84106 ms
--- assignClusters:            0.41652 ms
Elapsed time: 48.6612 ms
--- prepareDataStructures:     5.12802 ms
--- calculateLocalDensity:     14.8197 ms
--- calculateDistanceToHigher: 18.7144 ms
--- findSeedAndFollowers:      3.86224 ms
--- assignClusters:            0.450474 ms
Elapsed time: 48.7549 ms
--- prepareDataStructures:     5.13652 ms
--- calculateLocalDensity:     14.8509 ms
--- calculateDistanceToHigher: 18.7397 ms
--- findSeedAndFollowers:      3.90294 ms
--- assignClusters:            0.444407 ms
Elapsed time: 48.7559 ms
--- prepareDataStructures:     5.15507 ms
--- calculateLocalDensity:     14.7358 ms
--- calculateDistanceToHigher: 18.7267 ms
--- findSeedAndFollowers:      3.85238 ms
--- assignClusters:            0.419113 ms
Elapsed time: 48.5795 ms
--- prepareDataStructures:     5.23034 ms
--- calculateLocalDensity:     15.0356 ms
--- calculateDistanceToHigher: 18.6626 ms
--- findSeedAndFollowers:      3.96822 ms
--- assignClusters:            0.424063 ms
Elapsed time: 49.1804 ms
--- prepareDataStructures:     5.14742 ms
--- calculateLocalDensity:     14.8967 ms
--- calculateDistanceToHigher: 18.8023 ms
--- findSeedAndFollowers:      3.87047 ms
--- assignClusters:            0.427734 ms
Elapsed time: 48.9555 ms
--- prepareDataStructures:     5.17938 ms
--- calculateLocalDensity:     14.8897 ms
--- calculateDistanceToHigher: 19.0563 ms
--- findSeedAndFollowers:      3.86555 ms
--- assignClusters:            0.418262 ms
Elapsed time: 49.118 ms
--- prepareDataStructures:     5.13807 ms
--- calculateLocalDensity:     15.0308 ms
--- calculateDistanceToHigher: 19.0286 ms
--- findSeedAndFollowers:      4.15401 ms
--- assignClusters:            0.420846 ms
Elapsed time: 49.4718 ms
--- prepareDataStructures:     5.29665 ms
--- calculateLocalDensity:     14.9207 ms
--- calculateDistanceToHigher: 19.0303 ms
--- findSeedAndFollowers:      3.9262 ms
--- assignClusters:            0.423851 ms
Elapsed time: 49.4068 ms
--- prepareDataStructures:     5.18563 ms
--- calculateLocalDensity:     15.0506 ms
--- calculateDistanceToHigher: 19.2275 ms
--- findSeedAndFollowers:      3.92178 ms
--- assignClusters:            0.423049 ms
Elapsed time: 49.6742 ms
--- prepareDataStructures:     5.27504 ms
--- calculateLocalDensity:     15.2219 ms
--- calculateDistanceToHigher: 18.8273 ms
--- findSeedAndFollowers:      3.86123 ms
--- assignClusters:            0.42554 ms
Elapsed time: 49.3282 ms
--- prepareDataStructures:     5.37754 ms
--- calculateLocalDensity:     42.5388 ms
--- calculateDistanceToHigher: 44.7296 ms
--- findSeedAndFollowers:      7.28671 ms
--- assignClusters:            0.947705 ms
Elapsed time: 110.134 ms
--- prepareDataStructures:     10.7583 ms
--- calculateLocalDensity:     25.2583 ms
--- calculateDistanceToHigher: 28.3429 ms
--- findSeedAndFollowers:      5.39937 ms
--- assignClusters:            0.770914 ms
Elapsed time: 81.1945 ms
--- prepareDataStructures:     7.78895 ms
--- calculateLocalDensity:     21.4341 ms
--- calculateDistanceToHigher: 26.9021 ms
--- findSeedAndFollowers:      5.33496 ms
--- assignClusters:            0.774355 ms
Elapsed time: 72.1721 ms
--- prepareDataStructures:     7.66542 ms
--- calculateLocalDensity:     21.2087 ms
--- calculateDistanceToHigher: 26.8379 ms
--- findSeedAndFollowers:      5.37789 ms
--- assignClusters:            0.792755 ms
Elapsed time: 71.9888 ms
--- prepareDataStructures:     7.60208 ms
--- calculateLocalDensity:     21.1382 ms
--- calculateDistanceToHigher: 26.7717 ms
--- findSeedAndFollowers:      5.36017 ms
--- assignClusters:            0.782867 ms
Elapsed time: 71.6216 ms
--- prepareDataStructures:     7.63881 ms
--- calculateLocalDensity:     21.1074 ms
--- calculateDistanceToHigher: 26.6891 ms
--- findSeedAndFollowers:      5.34348 ms
--- assignClusters:            0.767325 ms
Elapsed time: 71.571 ms
--- prepareDataStructures:     7.32944 ms
--- calculateLocalDensity:     20.7222 ms
--- calculateDistanceToHigher: 26.8448 ms
--- findSeedAndFollowers:      5.34155 ms
--- assignClusters:            0.781137 ms
Elapsed time: 70.8378 ms
--- prepareDataStructures:     7.4954 ms
--- calculateLocalDensity:     21.0599 ms
--- calculateDistanceToHigher: 26.8495 ms
--- findSeedAndFollowers:      5.35548 ms
--- assignClusters:            0.783127 ms
Elapsed time: 71.3475 ms
--- prepareDataStructures:     7.59603 ms
--- calculateLocalDensity:     20.9892 ms
--- calculateDistanceToHigher: 26.6881 ms
--- findSeedAndFollowers:      5.35501 ms
--- assignClusters:            0.757278 ms
Elapsed time: 71.3693 ms
--- prepareDataStructures:     7.58893 ms
--- calculateLocalDensity:     20.9354 ms
--- calculateDistanceToHigher: 25.5792 ms
--- findSeedAndFollowers:      4.9308 ms
--- assignClusters:            0.726386 ms
Elapsed time: 69.1725 ms
--- prepareDataStructures:     6.33666 ms
--- calculateLocalDensity:     17.0993 ms
--- calculateDistanceToHigher: 21.0828 ms
--- findSeedAndFollowers:      4.06934 ms
--- assignClusters:            0.632747 ms
Elapsed time: 57.2736 ms
--- prepareDataStructures:     5.85741 ms
--- calculateLocalDensity:     15.9877 ms
--- calculateDistanceToHigher: 20.5564 ms
--- findSeedAndFollowers:      4.06648 ms
--- assignClusters:            0.658227 ms
Elapsed time: 54.8906 ms
--- prepareDataStructures:     5.92619 ms
--- calculateLocalDensity:     16.4774 ms
--- calculateDistanceToHigher: 19.9568 ms
--- findSeedAndFollowers:      3.94332 ms
--- assignClusters:            0.625721 ms
Elapsed time: 54.7078 ms
--- prepareDataStructures:     5.76304 ms
--- calculateLocalDensity:     16.2794 ms
--- calculateDistanceToHigher: 20.0419 ms
--- findSeedAndFollowers:      3.9567 ms
--- assignClusters:            0.639872 ms
Elapsed time: 54.4981 ms
--- prepareDataStructures:     5.81634 ms
--- calculateLocalDensity:     15.6149 ms
--- calculateDistanceToHigher: 20.2047 ms
--- findSeedAndFollowers:      4.21178 ms
--- assignClusters:            0.625896 ms
Elapsed time: 54.2365 ms
--- prepareDataStructures:     5.77803 ms
--- calculateLocalDensity:     15.8822 ms
--- calculateDistanceToHigher: 20.0911 ms
--- findSeedAndFollowers:      3.93063 ms
--- assignClusters:            0.631755 ms
Elapsed time: 54.0855 ms
--- prepareDataStructures:     5.79828 ms
--- calculateLocalDensity:     15.985 ms
--- calculateDistanceToHigher: 23.3623 ms
--- findSeedAndFollowers:      5.89918 ms
--- assignClusters:            0.66227 ms
Elapsed time: 65.2319 ms
--- prepareDataStructures:     5.8408 ms
--- calculateLocalDensity:     15.8033 ms
--- calculateDistanceToHigher: 20.3387 ms
--- findSeedAndFollowers:      4.03839 ms
--- assignClusters:            0.608282 ms
Elapsed time: 54.4223 ms
--- prepareDataStructures:     5.81058 ms
--- calculateLocalDensity:     15.9935 ms
--- calculateDistanceToHigher: 20.0098 ms
--- findSeedAndFollowers:      3.9436 ms
--- assignClusters:            0.605381 ms
Elapsed time: 54.0682 ms
--- prepareDataStructures:     5.75048 ms
--- calculateLocalDensity:     15.9267 ms
--- calculateDistanceToHigher: 20.1398 ms
--- findSeedAndFollowers:      3.98941 ms
--- assignClusters:            0.611287 ms
Elapsed time: 54.1153 ms
--- prepareDataStructures:     5.77233 ms
--- calculateLocalDensity:     15.9954 ms
--- calculateDistanceToHigher: 20.1318 ms
--- findSeedAndFollowers:      4.17368 ms
--- assignClusters:            0.69049 ms
Elapsed time: 54.5829 ms
--- prepareDataStructures:     5.7857 ms
--- calculateLocalDensity:     15.9267 ms
--- calculateDistanceToHigher: 19.9956 ms
--- findSeedAndFollowers:      3.99388 ms
--- assignClusters:            0.577275 ms
Elapsed time: 54.1364 ms
--- prepareDataStructures:     5.67201 ms
--- calculateLocalDensity:     15.7424 ms
--- calculateDistanceToHigher: 20.3282 ms
--- findSeedAndFollowers:      4.1396 ms
--- assignClusters:            0.637446 ms
Elapsed time: 54.3209 ms
--- prepareDataStructures:     5.90149 ms
--- calculateLocalDensity:     16.0507 ms
--- calculateDistanceToHigher: 20.3131 ms
--- findSeedAndFollowers:      4.03029 ms
--- assignClusters:            0.63784 ms
Elapsed time: 54.7771 ms
--- prepareDataStructures:     5.85843 ms
--- calculateLocalDensity:     15.8803 ms
--- calculateDistanceToHigher: 20.2064 ms
--- findSeedAndFollowers:      4.20461 ms
--- assignClusters:            0.607789 ms
Elapsed time: 54.5204 ms
--- prepareDataStructures:     5.73527 ms
--- calculateLocalDensity:     15.7732 ms
--- calculateDistanceToHigher: 20.0783 ms
--- findSeedAndFollowers:      4.01736 ms
--- assignClusters:            0.620669 ms
Elapsed time: 53.9171 ms
--- prepareDataStructures:     5.69029 ms
--- calculateLocalDensity:     15.8988 ms
--- calculateDistanceToHigher: 19.9439 ms
--- findSeedAndFollowers:      3.92625 ms
--- assignClusters:            0.621496 ms
Elapsed time: 53.8318 ms
--- prepareDataStructures:     5.90116 ms
--- calculateLocalDensity:     16.0026 ms
--- calculateDistanceToHigher: 19.9285 ms
--- findSeedAndFollowers:      3.95408 ms
--- assignClusters:            0.603043 ms
Elapsed time: 54.1109 ms
--- prepareDataStructures:     5.85568 ms
--- calculateLocalDensity:     16.0697 ms
--- calculateDistanceToHigher: 20.1254 ms
--- findSeedAndFollowers:      3.95173 ms
--- assignClusters:            0.595998 ms
Elapsed time: 54.4073 ms
--- prepareDataStructures:     5.81118 ms
--- calculateLocalDensity:     16.3898 ms
--- calculateDistanceToHigher: 21 ms
--- findSeedAndFollowers:      4.04223 ms
--- assignClusters:            0.662785 ms
Elapsed time: 55.7301 ms
--- prepareDataStructures:     5.6975 ms
--- calculateLocalDensity:     15.7823 ms
--- calculateDistanceToHigher: 20.1644 ms
--- findSeedAndFollowers:      3.94202 ms
--- assignClusters:            0.614141 ms
Elapsed time: 53.9224 ms
--- prepareDataStructures:     5.70766 ms
--- calculateLocalDensity:     16.0166 ms
--- calculateDistanceToHigher: 20.0124 ms
--- findSeedAndFollowers:      3.96055 ms
--- assignClusters:            0.62999 ms
Elapsed time: 54.019 ms
--- prepareDataStructures:     5.80341 ms
--- calculateLocalDensity:     15.8296 ms
--- calculateDistanceToHigher: 20.1333 ms
--- findSeedAndFollowers:      4.07074 ms
--- assignClusters:            0.63838 ms
Elapsed time: 54.1794 ms
--- prepareDataStructures:     5.8098 ms
--- calculateLocalDensity:     15.9197 ms
--- calculateDistanceToHigher: 20.1943 ms
--- findSeedAndFollowers:      4.18468 ms
--- assignClusters:            0.626246 ms
Elapsed time: 54.5562 ms
--- prepareDataStructures:     5.81657 ms
--- calculateLocalDensity:     15.9207 ms
--- calculateDistanceToHigher: 20.3123 ms
--- findSeedAndFollowers:      3.94828 ms
--- assignClusters:            0.616673 ms
Elapsed time: 54.3304 ms
--- prepareDataStructures:     5.74268 ms
--- calculateLocalDensity:     16.0651 ms
--- calculateDistanceToHigher: 20.0731 ms
--- findSeedAndFollowers:      4.0289 ms
--- assignClusters:            0.615822 ms
Elapsed time: 54.3606 ms
--- prepareDataStructures:     5.86469 ms
--- calculateLocalDensity:     15.8626 ms
--- calculateDistanceToHigher: 19.9766 ms
--- findSeedAndFollowers:      3.96385 ms
--- assignClusters:            0.613915 ms
Elapsed time: 54.1535 ms
--- prepareDataStructures:     5.84371 ms
--- calculateLocalDensity:     15.9146 ms
--- calculateDistanceToHigher: 20.1599 ms
--- findSeedAndFollowers:      4.05621 ms
--- assignClusters:            0.638693 ms
Elapsed time: 54.4199 ms
--- prepareDataStructures:     5.76196 ms
--- calculateLocalDensity:     15.8639 ms
--- calculateDistanceToHigher: 20.4452 ms
--- findSeedAndFollowers:      3.94303 ms
--- assignClusters:            0.618962 ms
Elapsed time: 54.3462 ms
--- prepareDataStructures:     5.75581 ms
--- calculateLocalDensity:     15.8105 ms
--- calculateDistanceToHigher: 20.163 ms
--- findSeedAndFollowers:      4.09918 ms
--- assignClusters:            0.607321 ms
Elapsed time: 54.1804 ms
--- prepareDataStructures:     5.72255 ms
--- calculateLocalDensity:     15.9794 ms
--- calculateDistanceToHigher: 20.7413 ms
--- findSeedAndFollowers:      3.95983 ms
--- assignClusters:            0.65067 ms
Elapsed time: 54.8719 ms
--- prepareDataStructures:     5.90403 ms
--- calculateLocalDensity:     16.1249 ms
--- calculateDistanceToHigher: 20.2168 ms
--- findSeedAndFollowers:      3.95117 ms
--- assignClusters:            0.617902 ms
Elapsed time: 54.5776 ms
--- prepareDataStructures:     5.67312 ms
--- calculateLocalDensity:     15.8833 ms
--- calculateDistanceToHigher: 20.3748 ms
--- findSeedAndFollowers:      3.9338 ms
--- assignClusters:            0.621412 ms
Elapsed time: 54.2765 ms
--- prepareDataStructures:     5.86453 ms
--- calculateLocalDensity:     15.6593 ms
--- calculateDistanceToHigher: 19.9897 ms
--- findSeedAndFollowers:      3.95454 ms
--- assignClusters:            0.619428 ms
Elapsed time: 53.8346 ms
--- prepareDataStructures:     5.69868 ms
--- calculateLocalDensity:     15.9098 ms
--- calculateDistanceToHigher: 19.9972 ms
--- findSeedAndFollowers:      4.15518 ms
--- assignClusters:            0.612618 ms
Elapsed time: 54.1696 ms
--- prepareDataStructures:     5.81282 ms
--- calculateLocalDensity:     15.6248 ms
--- calculateDistanceToHigher: 20.2929 ms
--- findSeedAndFollowers:      3.99121 ms
--- assignClusters:            0.648288 ms
Elapsed time: 54.1364 ms
--- prepareDataStructures:     5.7986 ms
--- calculateLocalDensity:     15.8623 ms
--- calculateDistanceToHigher: 20.1004 ms
--- findSeedAndFollowers:      3.94996 ms
--- assignClusters:            0.597189 ms
Elapsed time: 54.2199 ms
--- prepareDataStructures:     5.78016 ms
--- calculateLocalDensity:     16.6779 ms
--- calculateDistanceToHigher: 20.6785 ms
--- findSeedAndFollowers:      3.96585 ms
--- assignClusters:            0.643401 ms
Elapsed time: 55.4236 ms
--- prepareDataStructures:     5.70948 ms
--- calculateLocalDensity:     16.0551 ms
--- calculateDistanceToHigher: 20.2318 ms
--- findSeedAndFollowers:      3.91634 ms
--- assignClusters:            0.613545 ms
Elapsed time: 54.2519 ms
--- prepareDataStructures:     5.78536 ms
--- calculateLocalDensity:     15.9108 ms
--- calculateDistanceToHigher: 20.1332 ms
--- findSeedAndFollowers:      3.97905 ms
--- assignClusters:            0.608251 ms
Elapsed time: 54.3706 ms
--- prepareDataStructures:     5.71356 ms
--- calculateLocalDensity:     15.9603 ms
--- calculateDistanceToHigher: 20.1175 ms
--- findSeedAndFollowers:      3.91877 ms
--- assignClusters:            0.615149 ms
Elapsed time: 54.0847 ms
Finished running CLUE algorithm

input file data/input/toyDetector_2000.csv
output file data/output/toyDetector_2000_3_5_5_8.csv
Start to load input points
Finished loading input points
Start to run CLUE algorithm
--- prepareDataStructures:     17.686 ms
--- calculateLocalDensity:     49.4356 ms
--- calculateDistanceToHigher: 60.3996 ms
--- findSeedAndFollowers:      13.8104 ms
--- assignClusters:            2.12364 ms
Elapsed time: 168.873 ms
--- prepareDataStructures:     14.7566 ms
--- calculateLocalDensity:     48.8379 ms
--- calculateDistanceToHigher: 60.7032 ms
--- findSeedAndFollowers:      10.9489 ms
--- assignClusters:            2.12078 ms
Elapsed time: 147.823 ms
--- prepareDataStructures:     14.7359 ms
--- calculateLocalDensity:     48.5226 ms
--- calculateDistanceToHigher: 60.5448 ms
--- findSeedAndFollowers:      11.0462 ms
--- assignClusters:            2.10241 ms
Elapsed time: 147.455 ms
--- prepareDataStructures:     14.7538 ms
--- calculateLocalDensity:     47.8867 ms
--- calculateDistanceToHigher: 52.1519 ms
--- findSeedAndFollowers:      8.68028 ms
--- assignClusters:            1.71219 ms
Elapsed time: 134.559 ms
--- prepareDataStructures:     11.4624 ms
--- calculateLocalDensity:     36.639 ms
--- calculateDistanceToHigher: 45.1942 ms
--- findSeedAndFollowers:      8.10446 ms
--- assignClusters:            1.62406 ms
Elapsed time: 111.199 ms
--- prepareDataStructures:     11.0876 ms
--- calculateLocalDensity:     36.4779 ms
--- calculateDistanceToHigher: 45.6285 ms
--- findSeedAndFollowers:      8.21658 ms
--- assignClusters:            1.6387 ms
Elapsed time: 111.216 ms
--- prepareDataStructures:     11.0168 ms
--- calculateLocalDensity:     36.2839 ms
--- calculateDistanceToHigher: 45.0883 ms
--- findSeedAndFollowers:      8.29741 ms
--- assignClusters:            1.62878 ms
Elapsed time: 110.484 ms
--- prepareDataStructures:     11.0749 ms
--- calculateLocalDensity:     36.2275 ms
--- calculateDistanceToHigher: 45.1681 ms
--- findSeedAndFollowers:      8.08266 ms
--- assignClusters:            1.63538 ms
Elapsed time: 110.405 ms
--- prepareDataStructures:     11.1873 ms
--- calculateLocalDensity:     35.9407 ms
--- calculateDistanceToHigher: 44.7785 ms
--- findSeedAndFollowers:      8.12247 ms
--- assignClusters:            1.62411 ms
Elapsed time: 110.143 ms
--- prepareDataStructures:     11.0799 ms
--- calculateLocalDensity:     36.8678 ms
--- calculateDistanceToHigher: 45.5951 ms
--- findSeedAndFollowers:      8.21239 ms
--- assignClusters:            1.61335 ms
Elapsed time: 111.408 ms
--- prepareDataStructures:     11.1467 ms
--- calculateLocalDensity:     36.1951 ms
--- calculateDistanceToHigher: 44.5916 ms
--- findSeedAndFollowers:      8.0829 ms
--- assignClusters:            1.63629 ms
Elapsed time: 109.731 ms
--- prepareDataStructures:     10.9121 ms
--- calculateLocalDensity:     36.1614 ms
--- calculateDistanceToHigher: 45.4672 ms
--- findSeedAndFollowers:      8.1082 ms
--- assignClusters:            1.64782 ms
Elapsed time: 110.464 ms
--- prepareDataStructures:     11.0159 ms
--- calculateLocalDensity:     35.9571 ms
--- calculateDistanceToHigher: 45.5958 ms
--- findSeedAndFollowers:      8.29052 ms
--- assignClusters:            1.67204 ms
Elapsed time: 110.697 ms
--- prepareDataStructures:     11.0127 ms
--- calculateLocalDensity:     36.079 ms
--- calculateDistanceToHigher: 45.1857 ms
--- findSeedAndFollowers:      8.24067 ms
--- assignClusters:            1.61283 ms
Elapsed time: 110.32 ms
--- prepareDataStructures:     11.1655 ms
--- calculateLocalDensity:     39.0053 ms
--- calculateDistanceToHigher: 52.1715 ms
--- findSeedAndFollowers:      10.964 ms
--- assignClusters:            1.63356 ms
Elapsed time: 123.033 ms
--- prepareDataStructures:     11.1769 ms
--- calculateLocalDensity:     36.1371 ms
--- calculateDistanceToHigher: 44.8174 ms
--- findSeedAndFollowers:      8.19578 ms
--- assignClusters:            1.60306 ms
